[2019-09-07T12:27:25.174] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:27:25.218] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:31:11.068] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:31:11.099] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:31:21.062] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:31:21.103] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:31:25.999] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:31:26.019] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:34:20.977] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:34:21.008] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:45:37.683] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:45:37.737] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:45:54.889] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:45:54.924] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:50:32.400] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:50:32.447] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T12:53:05.270] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T12:53:05.322] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T19:46:13.154] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T19:46:13.251] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:41:30.037] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:41:30.153] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:42:20.480] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:42:20.531] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:46:26.230] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:46:26.265] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:47:10.822] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:47:10.856] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:48:28.886] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:48:28.921] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:54:25.959] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:54:26.005] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:56:06.863] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:56:06.899] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:58:04.917] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:58:04.964] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:58:21.458] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:58:21.503] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T20:59:24.973] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T20:59:25.019] [INFO] [src/index] - [GET] /api/categories
